"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,48.3302566772353,5.23708750884336
"2",2022-03-08 00:00:05,1,303,100,49.104826601379,4.73750443275237
"3",2022-03-08 00:00:10,1,303,100,48.3145603184442,4.8791579972686
"4",2022-03-08 00:00:15,1,303,100,49.2824064998794,5.19141294083774
"5",2022-03-08 00:00:20,1,303,100,49.4553093706249,5.18120533422373
"6",2022-03-08 00:00:25,1,303,100,47.9216264772406,5.0983139440651
"7",2022-03-08 00:00:30,1,303,100,49.62853212536,4.99762176458713
"8",2022-03-08 00:00:35,1,303,100,47.0517446876505,5.33949004292823
"9",2022-03-08 00:00:40,1,303,100,48.2753965772279,4.04759053390954
"10",2022-03-08 00:00:45,1,303,100,49.9479407006201,5.15486516097977
"11",2022-03-08 00:00:50,1,303,100,48.1010118997241,5.39236370246983
"12",2022-03-08 00:00:55,1,303,100,49.3850953220543,4.63723759740212
"13",2022-03-08 00:01:00,1,303,100,48.4332273821515,4.49537872583892
"14",2022-03-08 00:01:05,1,303,100,49.0115303452563,5.02064863964982
"15",2022-03-08 00:01:10,1,303,100,48.0064798507101,4.85887611860566
"16",2022-03-08 00:01:15,1,303,100,47.8930817717414,5.86221802896381
"17",2022-03-08 00:01:20,1,303,100,49.4689943461671,4.53565261376995
"18",2022-03-08 00:01:25,1,303,100,49.5988157813621,4.46519445480941
"19",2022-03-08 00:01:30,1,303,100,48.9873059451199,5.0767916233938
"20",2022-03-08 00:01:35,1,303,100,50.246162771751,5.65487697855354
"21",2022-03-08 00:01:40,1,303,100,48.0506756583939,5.39423292207154
"22",2022-03-08 00:01:45,1,303,100,48.5345819987061,4.70706215082715
"23",2022-03-08 00:01:50,1,303,100,50.8665281431365,3.95985338417639
"24",2022-03-08 00:01:55,1,303,100,47.8310503839042,4.9068396454369
"25",2022-03-08 00:02:00,1,303,100,48.0650098653829,4.66845415836195
"26",2022-03-08 00:02:05,1,303,100,49.6986269961241,5.42026968308807
"27",2022-03-08 00:02:10,1,303,100,47.0008173727349,4.96578157555791
"28",2022-03-08 00:02:15,1,303,100,48.891165808223,5.20945360646639
"29",2022-03-08 00:02:20,1,303,100,48.4383006609789,4.3955093842636
"30",2022-03-08 00:02:25,1,303,100,47.6944579605326,5.81971304183507
"31",2022-03-08 00:02:30,1,303,100,49.8763080884851,5.34757024746261
"32",2022-03-08 00:02:35,1,303,100,47.1426870130971,6.00274692315452
"33",2022-03-08 00:02:40,1,303,100,47.7779819162,5.29647100363126
"34",2022-03-08 00:02:45,1,303,100,49.3922870093615,4.54414054656922
"35",2022-03-08 00:02:50,1,303,100,49.1674799580013,5.49268940438751
"36",2022-03-08 00:02:55,1,303,100,48.6678366264814,5.75231567676642
"37",2022-03-08 00:03:00,1,303,100,49.0251383904378,5.38176050106345
"38",2022-03-08 00:03:05,1,303,100,47.7431084361148,5.21140130903171
"39",2022-03-08 00:03:10,1,303,100,50.2899344722263,5.07800578048471
"40",2022-03-08 00:03:15,1,303,100,48.7499199890385,5.2630532480943
"41",2022-03-08 00:03:20,1,303,100,50.8988969496528,5.76022955853841
"42",2022-03-08 00:03:25,1,303,100,48.7487945489119,5.08110943068578
"43",2022-03-08 00:03:30,1,303,100,47.9816309199619,4.92980866539959
"44",2022-03-08 00:03:35,1,303,100,48.4265598484743,4.54268303332284
"45",2022-03-08 00:03:40,1,303,100,47.916582608697,4.97853874337035
"46",2022-03-08 00:03:45,1,303,100,48.6139863510697,4.76747338833129
"47",2022-03-08 00:04:01,1,303,100,48.4772615660415,11.4537726234923
"48",2022-03-08 00:03:55,1,303,100,48.7297745855098,5.05933539890886
"49",2022-03-08 00:04:00,1,303,100,48.080538772775,4.70897677601055
"50",2022-03-08 00:04:05,1,303,100,49.0925736662935,5.75361881031673
"51",2022-03-08 00:04:10,1,303,100,49.2198571327624,5.45969903828289
"52",2022-03-08 00:04:15,1,303,100,49.0892265606609,4.56681791145896
"53",2022-03-08 00:04:20,1,303,100,48.5862080253095,4.74935821916125
"54",2022-03-08 00:04:25,1,303,100,49.2431306293735,5.25690602641868
"55",2022-03-08 00:04:30,1,303,100,49.8748517077713,5.14783630692054
"56",2022-03-08 00:04:35,1,303,100,48.5294821165434,4.41080178058758
